中原重笔青史改革潮头定九霄龙腾,华夏迭出俊才开放阵前当万里鹏飞
大地春光红艳艳,神州佳节乐陶陶
勤勤恳恳培育新一代,兢兢业业争当好园丁
山远云多态,地近草自新
北国南疆歌盛世,东海西域颂升平
祥光盈九域,瑞色满神州
冬去山明水秀,春来鸟语花香
马蹄留胜迹,羊角搏青云
春有笑颜春不老,岁无忧虑岁常新
淑景凝新旭,晴光接彩霞
春风吹醒千山绿,节日迎来万代红
节约勤劳方致富,清廉公正始兴邦
一夜春风来小院,千匹骏马闯雄关
春来千枝秀,冬去万木苏
苦读诗书知识广,勤耕垄亩稻粮丰
日丽风和花引蝶,枝繁叶茂凤还巢
送犬迎猪耻荣须八戒,齐家治国贫富要三思
善政春风吹大地,富民时雨润神州
跃马扬鞭抒壮志,耕云播雨夺丰收
品蛰逢雷欲奋,盘根久冻春回
诗联抒壮志,丹青绘鸿图
绿水青山迎宝马,红梅白雪送灵蛇
春燕剪柳,喜鹊登梅
乘龙能揽月,策马喜迎春
花迎红日放,心盼彩云归
江山万年固,天地一家春
入店喝杯如意酒,愿君过个顺心年
金牛辞岁寒风尽,白虎迎春喜气来
似锦前程堪跃马,如诗大业更呈祥
在圈常安卧,入禅不待招
一代英雄奔四化,满园桃李秀三春
辞旧岁决心除旧,迎新年大胆革新
神州届节万家乐,好酒开坛百里香
爆竹一声辞旧岁,桃符万户换新春
党民雄程玉局别开生面,国兴特色勋猷独领风骚
民拥军意比泰山重,军爱民情似东海深
人歌四化金鸡唱,岁乐千春紫燕飞
喜看春光普照,笑迎泰运频来
花事才逢花好日,虎年更有虎威风
日丽风和处处春盎盎,国强民富家家乐融融
四化鲜花芳旧壤,九州新浪荡陈流
中华扬赤帜,壮志步青云
殷期一国行两制,切盼三通贯九条
春雷巨响山河动,月夜旋风草木飞
红梅香小院,玉兔下人间
处处春风春处处,丝丝柳絮柳丝丝
骏马早迎春一代英豪图改革,黄莺初唱晓千里乐声唱丰收
九陌连灯影,千门庆月华
雄关似铁天天越,捷报如潮日日来
锦绣前程欣奋发,光辉业绩乐耕耘
景象升平开泰运,金猪如意获丰财
善政宽怀兴百业,春风得意乐万民
山水如画描四化,江河似锦绣三春
戌年引导小康路,亥岁迎来锦绣春
走社会主义道路爱国爱教,扬般若波罗密多弘法利生
莫忘当年创业苦,喜看今朝生活甜
快马舞东风春盈四海,梅花香大地喜满九州
潇潇春雨润桃李,处处园丁育栋梁
万里春风织锦绣,千枝神笔赞新风
大圣载功辞腊去,金鸡报晓唤春回
二千年峥嵘岁月惊回首,新世纪锦绣河山展壮怀
丽日彤彤神州春似海,东风袅袅大地绿如茵
柳绿春江月,旗红骏马图
漫拍低吟金缕曲,长征高唱大江东
燕雀应思壮志,梅兰珍重年华
抓住良机兴改革,放开大步上台阶
九域颂和谐听莺燕同声频传新事,五羊铺锦绣看城乡比翼尽染春晖
新桃又报笙歌日,神骏宜追治世风
马拓康庄道,羊挟惠风来
人在征途阔步走,鹰怀远志搏云飞
集八方信息生财有道,传四海科技致富无涯
阳春烟景,锦绣文章
策马扬鞭奔大富,乘龙跨纪立强林
吉地祥光开泰运,重门旭日耀阳春
碧桃丹桂探春色,甘雨和风兆丰年
喜鹊登高枝,红梅报春花
门户敝开迎八方春风入院,房舍洁净接九州宾客归家
四海龙腾抒壮志,千山虎啸振雄风
喜洋洋绿水青山春永驻,美泰泰丰衣足食福无边
开拓财源春来茂盛,改革经济马到成功
兔岁来矣劝君记取龟兔教训,虎年去也祝您发扬龙虎精神
勤劳家家富,节俭年年丰
二十三年征赛年年咏唱春天故事,百千万副佳联副副讴歌时代光辉
三江呈瑞五岳献珍十亿炎黄兴改革春潮浩荡,四海朝阳六合庆典千秋华夏颂国策歌舞升平
四化争辉五光十色满天彩,百花齐放万紫千红遍地香
祥云捧日,玉树临风
花灯烂漫逢盛世,锣鼓喧天颂华年
时代已临跨世纪,人才当出高水平
爆竹声中催腊去,寒梅香里送春来
虎劲长存救命降魔英烈人人颂,兔年新至扶贫效国赤心户户歌
政清人觉晓,春媚燕知归
心似春花怒放,财如瑞雪翻飞
绿水青山芳草地,良辰美景艳阳天
祖国江山千古秀,春风桃李一番新
世纪更新迎大治,江山依旧荡春风
春潮滚滚神州暖,碧浪滔滔旭日明
鹊向枝头祝福好,梅从窗外报春来
燕舞三春平安富裕小康日,龙腾四海欢乐和谐中国年
国运宏开多雨露,人才蔚起足风流
福孕祥和新世纪,喜盈古瑞小康村
经济繁荣家益富,人才蔚起国长春
春光满院,瑞气盈门
和谐社会尊贤敬老,忠厚人家毓德守诚
万里江山春浩荡,一天云锦日光华
春花吐艳香千里,快马加鞭跃九州
迎骏岁奔小康春晖万里,展鸿图兴大业富路千知
双归鼎盛千秋福,一统繁荣万代春
红日喷霞处处添画意,春风化雨点点动诗情
日丽风和融大地,花香鸟语壮前程
春风传捷报,凯歌贺新年
玉露滋花盈馥郁,春梅报信吐芬芳
春风及第,瑞霭盈门
翠竹摇风鸣彩凤,红梅映日笑春莺
春风吹春雨洒百花齐放,党纪严党风正万事皆通
蛇献肝胆显效申办成功万民喜悦同心协力奥运会,马驮足球飞奔冲出亚洲举国欢腾翘首以待世界杯
绿水闲润柳,春风漫拂花
马尾松劲承雨露,羊毫妙笔点春光
神州巨变宏图起,世纪更新伟业开
时逢盛世歌长久,福满神州庆太平
诗吟四化进军曲,酒祝八方奋斗人
康健真富贵,和谐大文章
鱼跃碧海赞海阔,鸟飞蓝天颂天高
大地风光旖旎,神州人物轩昂
百年盛纪,一代精英
德政仁声传万代,宏图伟业耀千秋
万里河山舒锦绣,满园桃李竞芬芳
山青水秀千山锦,鸟语花香四海春
过年最乐,读书更佳
喜盈工农门第,春满劳动人家
税改布春晖乡里人人歌减负,敞仓收硕果农家户户喜增盈
梅香雪净一元复始描盛世,李艳桃红万象更新奏福音
新人新岁迎新纪,龙国龙年绘龙图
五星高照山河丽,两制同辉骨肉亲
服务人民春报喜,效忠祖国雁传音
四化腾飞邦永固,百花齐放岁常新
世纪百年兴骏业,神州万里展鹏程
描天描地描日月,绘江绘海绘山川
门边嫩柳摇春色,窗外鲜花带露香
春风终解千层雪,海水还连两岸心
人旺财旺日子旺,福多寿多喜事多
自主经营厂家如虎添翼,大胆改革质量似锦添花
发扬民主千家喜,安定团结万户欢
绿柳舒眉争颂中华崛起,红桃开口笑看祖国添娇
马蹄捷报映晓日,燕语茑歌迎新年
四化图开千秋业,一枝梅报万家春
梅花开五福,竹叶报三春
承上下求索志,绘春秋振兴图
溢彩流金河山似锦,穿红着绿岁月如花
红梅别具三分景,绿竹报来万里春
碧野青天千里秀,红楼绿树万家春
玉兔出宫倾慕人间春色美,金龙潜海畅游祖国江山娇
岁月逢春春似锦,劳动致富富盈门
百业千竹争贡献,五湖四海竟风流
丰收年景丰收乐,遍地春风遍地歌
天高碧宇随鹏举,路远轻风任马驰
春色无边称禹甸,世风有道胜尧天
有脚春风迎世纪,无声瑞雪舞丰年
安定千家乐,辛勤五谷香
梅花欢喜漫天雪,骏马奔驰一路春
爱党心诚葵向日,迎年花早鼓催春
中华十亿心灵美,大地三春景色娇
万里河山添异彩,十年规划展新猷
张灯结彩欢庆丰收岁,跑马耍羊喜迎艳阳春
党爱人民人爱党,娘亲子女子亲娘
世纪之交扬鞭策马,新年伊始飞雪迎春
玉兔报春田野绿,金鸡唱晓艳阳红
楼外花飞红杏雨,庭前枝灿早梅春
齐心奔富路,协力奋雄程
写兴邦颂史,奏创业新歌
腾龙快马逢新世,送犬迎猪贺大年
共和三尺剑,光复一戎衣
八骏日行千里地,七弦时谱万家春
四化鲜花开古国,三中妙策振神州
璀璨宝鸡处处生机江山如画岁月如歌前景如诗人居如意民心顺,春天故事声声悦耳民族和衷友邻和善家庭和睦社会和谐盛世兴
小蛇敬业将要退伍还站岗,老马好强不用扬鞭自奋蹄
红梅映雪无声画,绿柳啼莺有韵诗
文明新社会,锦绣好前程
英豪济济,阵势堂堂
勤劳致富摇钱树,节俭持家聚宝盆
春舒丽日山河秀,歌绕华门世纪新
花心梦醒风光媚,草脚愁回景色妍
政策架金桥土生百宝,科学播银种地出万金
沧海横流磐石固,长城高耸画图殊
犬吠佞人丧胆,鸡鸣玉宇生辉
泰世和风暖万户,及时春雨惠三农
九州一统九州富,四海三通四海丰
舜犬重临华夏,犬年大展雄姿
春来羊起舞,雪化马归山
宏图大展成就行行伟业,骏马奔腾飞越道道雄关
一元二气三阳泰,四时五福六合春
巳岁不寻常欣瞻祖国繁荣处处管弦歌盛世,蛇年真雅化喜见城乡活跃家家诗酒贺新年
日高柳生色,风暖莺送声
庆盛世雄狮轻起舞,展宏图快马猛加鞭
猪傍家家开福路,犬临户户守财门
一代英豪生虎气,三春杨柳动莺歌
春和景丽,国泰民安
蓬蓬勃勃四方土,火火红红百姓家
丑去寅来千里锦,牛奔虎啸九州春
村村美化花盈院落,户户承包果满枝头
满园桃李争春暖,遍山松柏耐岁寒
冬去山明水秀橙经赤纬织新暖,春来鸟语花香青丝兰锦绣余寒
亿兆群英再造辉煌跨世纪,万千佳气新呈瑞霭壮山河
神州兴骏业,壮志展宏图
柳岸杜鹃沿路叫,花园蝴蝶绕畦飞
兴邦多壮志,举业在华年
春风苏万物,旭日暖千家
大地沫春辉迎来蛇舞灵珠经济腾飞通世贸,星沙添异彩喜看鹰扬金榜人文蔚起动潇湘
迎春策马声威壮,破浪扬帆气势雄
丝路放歌兴伟业,边关跃马谱新篇
一年开始,百业兴隆
三阳春照平安地,五福笑临吉庆门
春风暖送千丛绿,旭日光生万户春
岸柳舒眉春雨细,山桃掩袖晓烟轻
和风阵阵驱贫困,细雨纷纷润富强
春雨新龙角,秋风振凤毛
笑语欢歌辞旧,华灯爆竹迎新
国施善政昭天下,党树新风誉世间
绿影鸿飞邮路春风播四海,清音雁递电波喜讯报千家
快马加鞭协力同心跟党走,葵花吐蕊栉风沐雨向阳开
春晖满庭院,欢乐溢门窗
万里征途千里马,十年树木百年人
生灵自在枪弹莫朝鸟兽,草木荣华斧斤不入山林
有天皆丽日,无地不春风
寒梅斗雪传春讯,翠柳摇风荡日华
马年事事如人意,羊岁时时报福音
引水上山龙卧地,梯田栉比虎登坡
三峡截流惊世界,九州毓秀绘蓝图
春夏秋冬四季乐,祥和福寿合家欢
四海皆春春不老,九州同乐乐无穷
风光秀丽随春展,道路逶迤任马驰
同志求真理,并肩闯难关
大好河山九万里,崭新世纪二千年
邀五环圆梦庆九州入世赖两制补天借四化兴邦遵六中号令沐七星光彩巍巍龙族岂无好戏连台别昨日动千军又蘸春潮书杰作,拥一党领航喜百舸争流促三通填海观八荒铺锦展十面雄威护万里江山凛凛华人更有胜机在握看今朝凝众志再凭马力创新功
科技之光盈世纪,浩然正气满神州
庆佳节福财兴旺,迎新年人寿安康
春来蛇伏藏远志,节至马驰奔小康
引甘泉浇灌满园新蕾,洒热血培育祖国未来
春有新意,景无旧观
和和美美千家福,火火红红百业兴
山青水秀映改革千秋画,鸟语花香颂文明万代歌
人增寿纪,天转阳和
金龙舞神州歌盛世腾飞曲,玉兔奔月府献千禧伟业图
大地回春看大好河山皆成锦锈,长天吐瑞兆长恒国祚永放光华
肥猪拱户门庭富,紫燕报春岁月新
迎春谱曲歌新纪,祝酒吟诗颂盛时
马到成功人走运,羊来吉利事随心
国逢盛世家家喜,人沐春风步步高
舞志士激雄心歌来红日千门晓,除邪氛张正气攀上碧桃四海春
金鸡交好卷,黄犬送佳音
绿草芳香芳草绿,红梅艳丽艳梅红
玉海金涛千里秀,绿树红楼万户春
香溢九州添神韵,港通四海奏凯歌
迎新春春光明媚,辞旧岁岁月火红
宝岛蓝天千里苍穹星恋月,神州碧水八方游子叶归根
兴伟业仍须牛劲,展宏图更壮虎威
喜看芳春花千树,欣逢大治福万家
海外漂流终是憾,天伦汇聚始无忧
举杯放歌款款春风如洒,昂首阔步冉冉旭日多娇
百年大计兴科教,四有新人作栋梁
细雨无声滋润满园锦绣,春风有意妆成一树玲珑
美景妖娆催四化,风光绮丽乐三春
志在青山汗水浇绿山千万,献身峻岭热血映红岭万千
日丽风和水泛千层浪,天高气爽鸿传两岸情
丹风来仪人寿年丰新岁月,春风送暖梅开雪映好山河
执法秉公公生正气气贯长虹昭日月,爱民送暖暖似春风风行大地秀河山
山川生瑞气,笔墨送祥光
九州生瑞,四海腾欢
九州生色,两岸连心
九州骨肉同龙脉,两岸山河共月圆
既学妙手回春术,更具无私济世心
风正气清称盛世,法严纪肃蔚新天
水惟善下能成海,山不争高自极天
以法治国以德治国法德齐施九州有望臻长治,唯工安民唯农安民工农并举四海无忧庆久安
三峡大坝雄天下,万里长城冠古今
佳节已临欣饮酒,小康未到乐加油
诗前饮酒杯湿笔,酒后敲诗墨染书
蛇舞取胜除暴安良政局稳,马到成功兴益除弊国力强
人勤春来早,谷满月更圆
四海春光随处好,满天雨露应时新
风吹杨柳千门绿,雨润桃花万树红
祝圣党与天齐寿,愿人民同地永宁
江山稳固千乡丽,岁月祥和万事兴
开放涌春潮九州明媚,改革掀热浪四海辉煌
春回黄鹤白云地,日暖文明幸福家
事业千秋盛,江山万里红
放眼千山万水祖国景色美,倡导八荣八耻社会气象新
桃李芬芳香雪海,风云骀荡沁园春
同修富裕路,共建文明村
人勤家旺根基固,物阜民丰精神好
山河舒锦绣,桃李竞芳菲
还林还草抓环保,治水治沙造绿洲
喜迎春景花千树,笑饮丰年酒一杯
梅开佳景,雪兆丰年
花开富贵年年好,竹报平安月月圆
常在蟾宫攀桂树,今临禹甸送丰年
岁时新春意浓神州焕彩,宏图美阳光艳大地生辉
春日暖大地,光明照中华
金龙穿云端裁剪千千锦缎,玉蛇舞大地巧绣万万彩旗
新地新居新气象,好山好水好风光
四化宏图开盛世,一年好景在新春
大地同春情寄东风联两岸,中华一统国如磐石固千秋
节日人共乐,神州地皆春
两岸同期一统,九州共乐三春
蒸蒸日上,欣欣向荣
出外求财财到手,居家创业业兴隆
绿色北京迎奥运,红心骁将练神功
虎岁刚饮祝捷酒,兔年又放报春花
港澳归来双合璧,城乡喜庆一堂春
南巡指引幸福路,北会绘成锦绣图
政善三农乐,春融九域新
江山千载美,祖国万年春
年开舜日江山秀,人乐尧天宇宙新
国泰千乡富,家和万事兴
娇花盛放迎佳节,好鸟齐鸣报稔年
最是一年春好处,乐为两岸月圆时
国逢盛世民安泰,时际芳春政畅通
茶香入座午阴静,华气侵帘春昼长
风和日丽春常在,风和日丽花争俏
喜盈四海山河巨变,花漫九州岁月更新
伟略宏图扶世安邦大地生辉皆特色,和风丽日沧桑正道神州昌盛尽新颜
五彩纷呈艺苑春光好,百花齐放文坛景色新
春风细剪池边柳,旭日浓妆岭上梅
济困扶危道德中间查内力,拒邪防腐法规深处找基因
华夏大地春常在,文明古国尽朝晖
福随春至,富伴勤来
亿众赤心向党,万千花朵朝阳
四海旌旗映日,五湖战鼓催春
喜事多多入世胜利申奥成功足球出线银蛇昂首千秋史,暖风浩浩西北腾龙东南起凤三峡描春金马奋蹄万里程
鼠颖题春贴,鹊舌报福音
风吹杨柳千山绿,雨润桃梅万里红
梅为迎春先争艳,鸟因报喜早放喉
春信方传南国草,东风又染北江梅
翘首望京华多谢春风常送暖,深情连海宇应凭红豆记相思
四世同欢歌胜纪,三星高照庆新春
云霞呈锦绣,世纪现风流
玉兔欢奔芳草地,金乌腾跃碧云天
务实精神除旧俗,求真策略树新风
春来处处绿成海,花放枝枝红到楼
上下五千年英雄画卷,纵横八万里锦绣诗廊
献出满腔光与热,迎来祖国富而强
酿成绿酒贺新岁,点亮红灯照大年
化雨携来龙露贵,踏花归去马蹄香
学如不及,业精于勤
新纪新春迎春接福全家福,元旦元年待旦登程万里程
破壁腾龙喜气欢声凌日月,筑巢引凤琼楼玉宇壮乾坤
庆佳节户户家家喜事多,迎新春山山水水风光美
丁添富贵花添福家家添福,亥纳华荣果纳祥户户纳祥
爆竹声声送走旺狗岁,锣鼓阵阵迎来金猪春
遍地祥光临福宅,满天喜气入华堂
清正廉明宜国计,谦虚谨慎利民生
金鸡迎曙色,玉兔揽春光
万马奔腾一马当先好马脱缰马,千军抖擞三军最勇神军解放军
洁白梨花飘雅韵,清新联朵绽春华
万象更新山青水秀,五羊献瑞日丽春华
且将酩酊酬佳节,未有涓埃答圣朝
百族引吭歌盛世,千帆竞发迈新程
风和日丽,人勤地丰
千帆竞发几经风雨几经浪,万马奔腾一路凯歌一路春
一元淑气山河丽,四化宏图日月光
万里银装增瑞气,一枝红杏报春荣
神州锦绣新街古巷齐焕彩,大地和谐绿水青山共迎春(湘东儒子）
独立自主,自力更生
龙腾华夏钟灵地,春满神州书画园
阳春开物象,丽日焕新天
壮丽关山月,风流世纪春
红烛精神传万代,春蚕品德耀千秋
瑞雪兆丰年千家乐,春风织胜景万象新
政策好百花争艳,人心齐万象更新
国富民强城乡普庆,山青水秀春色多娇
力保大灾无大疫,胸怀全局为全民
送马年春花融白雪,迎羊岁喜鹊闹红梅
欢歌遍华夏,春色满神州
九州兴特色,万众沐春晖
寿逢七秩全球庆,泽被九州万姓欢
梅报三春信,人迎四化风
锦凤朝阳棲凤髻,乌龙抱月照龙津
无心思旧景,有志领新潮
新苗绽开新春意,故园焕发故风流
日暖神州开胜景,春临福地壮新程
给科学增添油墨为神州画上色彩,替后羿搭射箭头会嫦娥演出风流
花开富贵家家乐,喜庆吉祥岁岁欢
日丽开新纪,山河入画图
大地回春不尽江山抒特色,香花扑面无边风月竞贤才
盛世春来早,丰年花正红
文明军队人民爱,威武雄师世界钦
来于民养于民用之于民,安于军施于军赖之于军
腊梅开放新春到,喜鹊登枝佳节来
春景和谐日映桃花艳,笙歌婉转云开柳色新
江山万里皆春,祖国前程似锦
金玉满堂家宅旺,洪福齐天富贵长
风过红旗似画,春来绿水如烟
四海三江迎新岁,千家万户庆丰年
清廉宜治国,勤俭益发家
岁岁升平世,家家幸福歌
风引奇香入,祥征景福来
春阳艳丽山河秀,国运兴隆日月新
无限风光多壮丽,有为事业献青春
柳枝揉雨绿,杏蕊闹春红
好政策调动千军万马,大市场幸福万户千家
继往开来弘扬三代表,与时俱进建设两文明
年丰民自乐,国富力尤强
政通天降宝,人勤地生金
香港回归歌两制,神州昌盛颂三中
绿野春风荡,紫薇燕子飞
如画江山如歌岁月如意人生富裕蓝图众手绘,同心改革同德振兴同谋发展小康硕果大家尝
勤劳致富年年富,艰苦创新日日新
羊年喜千家祝福,国运昌万物生春
沐灿烂朝阳春光遍洒文明院,迎崭新世纪欢乐长随幸福人
雨过天青千古色,花留水彩四时春
将军爱战马,农夫喜黄牛
开创千秋大业,绘成四化宏图
春夏秋冬四季天然活水,东西南北八方自在名流
岁新绵甲子,德厚富春秋
反腐败消除祸害,倡清廉导向文明
大业宏图龙虎跃,连天芳草牛羊肥
唯大英雄能伏虎,是真豪杰乃降龙
雪里江山美,花间岁月新
泱泱奥运你高我快他强几家曾折桂,赫赫中华虎啸龙骧凤翥十亿定夺标
财随时日天天长,福伴春风岁岁来
春兰秋菊叶共艳,夏莲冬梅花添锦
形势年年好,精神日日新
和谐社会民康乐,崛起中华国富强
青山披锦绣,绿水溢春华
盛世千秋伟业,神州万里春风
虎跃龙腾奔富强,山欢水笑着新装
爆竹声声迎新岁,花灯盏盏报早春
俭为天下治家宝,勤是人间创业方
百鸟鸣春歌盛世,千家致富颂升平
事事如意大吉祥,处处顺心永安康
妙道长存一尘不染,圆通自在万境皆空
改革结硕果果香四海,开放绽鲜花花满九洲
政策英明城乡富,春风浩荡气象新
千枝挺秀看朋辈,万物同春去怨愁
国泰三春开丽景,民安百业发生机
年丰人寿千家乐,国泰民安万事兴
江山一统龙破壁,港澳双归凤还巢
千里江山千里秀,一重门户一重天
尊贤敬老家和顺,守法奉公业昌隆
民安国泰山河壮,日丽风清岁月新
雨顺风调宜世盛,粮丰林茂赖人勤
日出山花红胜火,春来江水绿如蓝
世纪曙光来眼底,江山春色上楼台
普天歌盛世,举国颂廉风
再濡塞北桃花雨,又绿江南杨柳风
圆月好花喜气盛,青山绿水春光新
六中时雨开新局,三讲春风涤旧尘
欢送戊寅丰稔岁,喜迎乙卯幸福春
椒酒千年歌大治,桃红万户颂新猷
喜接春潮苏大地山青水秀,欣挥翰墨谱神州国泰民安
事事随心称快,家家惬意欢欣
爱犬最忠留用看家护院,憨猪忒胖提拔聚宝敛财
芳草春回依旧绿,梅花时到自然红
丽日融融春水暖,英才济济乐无穷
千副佳联歌盛世,万家灯火映春光
人寿年丰家家乐,国泰民安处处春
物换星移辞腊去,风和日丽送春来
共绘宏图荣盛纪,同斟美酒赋新诗
官廉政善金瓯固,海晏河清玉宇宁
寒梅怒放迎春早,冻土精耕起步先
作画吟诗歌盛世,张灯结彩庆丰年
三春辉玉宇,两制富苍生
东进金银西进宝,内添福禄外添财
脱贫致富科学引路,改地换天技术当先
沧海飞舟脚踏千层雪浪,昆仑立马眼收万里风云
重调整众手栽培摇钱树,求安定群力塑造聚宝盆
春雨晓风花开五色,鼠须麟角力扫千军
戴斗镇崆峒尊临地轴,宜风启阊阖顺协天枢
愿献青春惩腐恶,甘将热血铸平安
